"","QUESTID2","IRSEX","HALLYRLST","IRFAMIN3","PRVHLTIN","IMOTHER","IFATHER","IRHHSIZ2","WRKDHRSWK2","WRKSTATWK2","EDUSKPMON","MOVSINPYR2","EDUSCHGRD2","AGE2","YETCGJOB","YEPGDJOB","YOSEEDOC","YEYFGTSW","YEYSTOLE","HPDRGTALK","SNRLGSVC","PRXYDATA","YEAR","goodjob","WRKSTATWK2_new"
"14487","25573034",2,9991,5,1,1,2,5,999,99,1,2,3,2,3,1,99,1,1,91,99,2,2015,4,0
"16614","96454965",2,9991,6,1,1,1,6,25,2,0,0,7,5,2,2,99,1,1,91,99,2,2015,4,2
"20164","33322815",1,9991,7,1,1,1,4,999,99,0,0,2,1,2,2,99,1,1,93,99,2,2015,4,0
"26805","93994116",2,9991,1,2,2,2,3,999,4,99,3,7,5,1,3,2,1,1,91,99,2,2015,4,0
"27345","33285916",2,9991,7,1,1,1,3,999,9,0,0,9,6,1,1,99,1,1,1,99,2,2015,2,0
"31922","16575387",1,9991,1,2,1,2,2,999,99,0,0,3,1,1,1,99,1,1,91,99,2,2015,2,0
"33199","72258107",2,9991,2,2,1,2,6,999,99,99,2,99,2,1,4,1,1,1,91,99,2,2015,5,0
"38159","87421068",2,9991,3,1,1,1,5,999,7,0,1,8,6,2,1,1,1,1,91,99,2,2015,3,0
"43334","30598349",2,9991,7,1,1,1,4,999,99,0,2,5,2,2,2,99,1,1,91,99,2,2015,4,0
"44885","53797569",2,9991,4,2,1,2,2,999,99,6,0,4,2,2,1,2,1,1,91,99,2,2015,3,0
"48902","31121129",2,2014,7,1,1,1,3,999,99,10,3,4,2,2,1,99,1,1,2,99,2,2015,3,0
"49940","83864539",2,9991,7,1,1,1,3,999,99,0,0,4,2,3,1,99,1,1,91,99,2,2015,4,0
"60901","52262623",1,9991,6,2,1,1,4,999,4,99,1,9,6,2,2,99,1,1,91,99,2,2016,4,0
"150831","20381255",2,9991,3,1,1,1,4,999,9,0,0,7,5,3,2,99,1,1,93,99,2,2016,5,0
"173781","82572485",2,9991,3,1,1,1,4,999,9,0,0,7,5,2,2,99,1,1,91,99,2,2016,4,0
"184931","32976995",1,9991,4,2,2,2,3,20,2,99,1,99,6,4,3,99,1,1,91,99,2,2016,7,2
"186361","52808105",2,9991,3,2,1,2,5,999,7,99,3,6,4,3,4,1,1,1,91,99,2,2016,7,0
"188351","42645405",1,9991,3,2,1,1,6,999,99,1,0,4,3,1,1,99,1,1,91,99,2,2016,2,0
"259891","21859406",2,9991,3,2,1,2,3,999,4,0,2,7,5,3,1,99,2,1,91,99,2,2016,4,0
"277391","12972826",2,9991,5,1,1,1,5,999,99,0,1,4,1,3,2,99,1,1,91,99,2,2016,5,0
"279761","86195236",2,9991,2,1,1,2,4,999,99,0,3,3,2,2,1,99,2,1,93,99,2,2016,3,0
"339351","21498617",1,9991,2,2,1,2,2,999,9,0,0,7,5,2,2,99,2,1,93,99,2,2016,4,0
"424491","44972538",2,9991,4,2,2,1,6,999,99,99,0,99,3,2,2,2,1,1,91,99,2,2016,4,0
"427931","14252038",2,9991,2,2,1,1,6,999,9,99,1,99,4,2,2,99,1,1,91,99,2,2016,4,0
"504771","40370840",1,9991,3,2,1,2,4,999,3,17,2,8,6,2,1,99,1,1,91,99,2,2016,3,0
"351312","83898983",2,9991,3,2,1,2,3,999,9,0,0,7,5,1,1,99,1,1,91,99,2,2017,2,0
"59452","29450423",2,9991,4,2,1,2,5,999,99,99,0,2,1,2,2,99,1,1,91,99,2,2017,4,0
"68392","79908733",1,9991,2,2,2,1,2,999,4,99,1,8,5,1,4,99,2,1,91,99,2,2017,5,0
"100082","63640384",1,9991,2,1,1,1,4,999,9,99,0,5,4,2,1,99,1,1,91,99,2,2017,3,0
"105682","30720194",2,9991,7,2,1,1,5,999,7,0,0,7,5,2,1,99,1,1,91,99,2,2017,3,0
"128852","71522424",1,9991,3,2,1,1,4,999,99,0,2,5,3,1,1,99,1,1,91,99,2,2017,2,0
"143582","48694545",1,9991,7,1,1,1,6,999,7,0,0,6,5,4,1,99,1,1,91,99,2,2017,5,0
"168562","83726185",1,9991,5,2,1,2,3,999,9,0,2,8,6,1,1,99,1,1,91,99,2,2017,2,0
"198413","10294225",1,9991,2,2,1,1,5,999,9,0,0,8,6,3,1,99,1,1,91,99,2,2017,4,0
"206513","39002335",2,2016,3,2,2,2,3,42,2,6,3,8,6,1,1,99,1,1,2,99,2,2017,2,2
"236272","46785776",2,9991,2,2,1,2,4,999,99,0,2,2,1,2,1,99,1,1,91,99,2,2017,3,0
"381972","80110188",1,9991,7,1,1,1,6,999,7,99,0,6,5,2,2,99,1,1,91,99,2,2017,4,0
"408022","56878718",2,9991,2,2,1,2,4,999,99,0,1,2,1,1,1,99,1,1,91,99,2,2017,2,0
"459062","27237089",2,9991,7,1,1,1,4,999,7,0,0,8,6,2,2,1,1,1,91,99,2,2017,4,0
"502342","37401150",2,9991,4,2,1,2,5,999,99,25,2,2,1,1,1,99,1,1,91,99,2,2017,2,0
"503692","48182350",1,9991,5,2,1,2,3,999,7,2,2,7,6,2,3,99,1,1,2,99,2,2017,5,0
"554532","58162620",1,9991,5,1,1,2,6,999,99,0,0,5,3,2,1,99,1,1,91,99,2,2017,3,0
"381143","22448188",1,9991,1,2,1,1,5,999,99,1,0,2,1,1,1,99,1,1,91,99,2,2018,2,0
"453533","65317389",2,9991,4,2,1,1,5,999,99,0,0,5,3,2,1,99,1,1,91,99,2,2018,3,0
"532106","94538843",1,9991,5,2,1,1,6,999,99,0,2,5,3,2,2,99,1,1,91,99,2,2019,4,0
"152884","31379855",1,9991,1,1,1,2,2,999,9,99,0,7,5,2,4,1,1,1,91,99,2,2019,6,0
"205584","28526235",1,9991,7,2,1,1,4,999,4,0,0,6,5,2,1,1,1,1,91,99,2,2019,3,0
"227434","18254366",2,9991,1,2,1,1,6,999,99,0,2,2,3,2,2,99,1,1,91,99,2,2019,4,0
"252764","79348996",1,9991,7,1,1,1,4,999,99,99,0,99,2,3,2,1,1,1,2,99,2,2019,5,0
"261054","46636116",1,9991,4,1,1,2,3,999,9,99,2,99,6,1,2,99,1,1,91,99,2,2019,3,0
"270074","95111326",2,9991,7,2,1,2,3,999,99,0,0,4,3,2,2,99,1,1,91,99,2,2019,4,0
"295604","49843057",1,9991,5,2,2,1,2,12,2,2,1,6,4,2,2,99,5,1,91,99,2,2019,4,2
"307454","62141777",1,9991,1,2,1,2,5,999,4,99,2,7,5,2,1,99,1,1,91,99,2,2019,3,0
"386344","54069988",1,9991,5,2,1,1,6,999,99,0,0,5,3,2,2,99,1,1,91,99,2,2019,4,0
